"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","FTP Path to Experiment","Library Name","Library Strategy","Library Source","Library Selection"
"SRX549555","GSM1395848: Single cell mRNA-seq_MGH30_F06; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617240","","131.83","1","3976674","198833700","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549555","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549554","GSM1395847: Single cell mRNA-seq_MGH30_F05; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617239","","45.07","1","1341595","67079750","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549554","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549553","GSM1395846: Single cell mRNA-seq_MGH30_F04; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617238","","33.93","1","978153","48907650","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549553","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549552","GSM1395845: Single cell mRNA-seq_MGH30_F03; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617237","","138.68","1","4170428","208521400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549552","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549551","GSM1395844: Single cell mRNA-seq_MGH30_F02; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617236","","125.96","1","3791820","189591000","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549551","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549550","GSM1395843: Single cell mRNA-seq_MGH30_F01; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617235","","98.16","1","2931806","146590300","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549550","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549549","GSM1395842: Single cell mRNA-seq_MGH30_E12; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617234","","178.6","1","5428078","271403900","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549549","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549548","GSM1395841: Single cell mRNA-seq_MGH30_E11; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617233","","165.74","1","4982507","249125350","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549548","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549547","GSM1395840: Single cell mRNA-seq_MGH30_E10; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617232","","55.13","1","1614873","80743650","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549547","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549546","GSM1395839: Single cell mRNA-seq_MGH30_E09; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617231","","187.34","1","5657598","282879900","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549546","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549545","GSM1395838: Single cell mRNA-seq_MGH30_E08; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617230","","186.84","1","5585845","279292250","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549545","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549544","GSM1395837: Single cell mRNA-seq_MGH30_E07; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617229","","157","1","4641604","232080200","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549544","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549543","GSM1395836: Single cell mRNA-seq_MGH30_E06; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617228","","17.07","1","493333","24666650","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549543","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549542","GSM1395835: Single cell mRNA-seq_MGH30_E05; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617227","","144.81","1","4335207","216760350","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549542","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549541","GSM1395834: Single cell mRNA-seq_MGH30_E04; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617225","","10.81","1","300501","15025050","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549541","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549540","GSM1395833: Single cell mRNA-seq_MGH30_E03; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617226","","57.8","1","1699005","84950250","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549540","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549539","GSM1395832: Single cell mRNA-seq_MGH30_E02; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617386","","24.12","1","708464","35423200","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549539","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549538","GSM1395831: Single cell mRNA-seq_MGH30_E01; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617385","","150.53","1","4522602","226130100","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549538","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549537","GSM1395830: Single cell mRNA-seq_MGH30_D12; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617384","","139.49","1","4177243","208862150","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549537","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549536","GSM1395829: Single cell mRNA-seq_MGH30_D11; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617383","","133.88","1","3978284","198914200","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549536","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549535","GSM1395828: Single cell mRNA-seq_MGH30_D10; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617382","","143.41","1","4200501","210025050","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549535","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549534","GSM1395827: Single cell mRNA-seq_MGH30_D09; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617381","","138.21","1","4119062","205953100","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549534","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549533","GSM1395826: Single cell mRNA-seq_MGH30_D08; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617380","","157.93","1","4659718","232985900","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549533","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549532","GSM1395825: Single cell mRNA-seq_MGH30_D07; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617379","","137.3","1","3994994","199749700","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549532","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549531","GSM1395824: Single cell mRNA-seq_MGH30_D06; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617378","","119.88","1","3552252","177612600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549531","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549530","GSM1395823: Single cell mRNA-seq_MGH30_D05; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617377","","138.27","1","4138575","206928750","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549530","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549529","GSM1395822: Single cell mRNA-seq_MGH30_D04; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617376","","145.42","1","4326448","216322400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549529","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549528","GSM1395821: Single cell mRNA-seq_MGH30_D03; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617375","","123.75","1","3668856","183442800","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549528","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549527","GSM1395820: Single cell mRNA-seq_MGH30_D02; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617374","","150.08","1","4437766","221888300","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549527","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549526","GSM1395819: Single cell mRNA-seq_MGH30_D01; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617373","","129.62","1","3834661","191733050","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549526","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549525","GSM1395818: Single cell mRNA-seq_MGH30_C12; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617372","","73.7","1","2209097","110454850","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549525","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549524","GSM1395817: Single cell mRNA-seq_MGH30_C11; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617371","","118.23","1","3551291","177564550","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549524","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549523","GSM1395816: Single cell mRNA-seq_MGH30_C10; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617370","","118.32","1","3516577","175828850","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549523","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549522","GSM1395815: Single cell mRNA-seq_MGH30_C09; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617369","","137.5","1","4161341","208067050","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549522","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549521","GSM1395814: Single cell mRNA-seq_MGH30_C08; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617368","","119.68","1","3554610","177730500","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549521","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549520","GSM1395813: Single cell mRNA-seq_MGH30_C07; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617367","","87.59","1","2589266","129463300","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549520","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549519","GSM1395812: Single cell mRNA-seq_MGH30_C06; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617366","","112.83","1","3404352","170217600","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549519","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549518","GSM1395811: Single cell mRNA-seq_MGH30_C05; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617365","","131.54","1","3980622","199031100","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549518","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549517","GSM1395810: Single cell mRNA-seq_MGH30_C04; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617364","","10.52","1","298375","14918750","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549517","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549516","GSM1395809: Single cell mRNA-seq_MGH30_C03; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617363","","41.21","1","1169206","58460300","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549516","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549515","GSM1395808: Single cell mRNA-seq_MGH30_C02; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617362","","36.7","1","1085540","54277000","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549515","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549514","GSM1395807: Single cell mRNA-seq_MGH30_C01; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617361","","138.83","1","4191367","209568350","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549514","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549513","GSM1395806: Single cell mRNA-seq_MGH30_B12; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617360","","100.65","1","3036398","151819900","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549513","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549512","GSM1395805: Single cell mRNA-seq_MGH30_B11; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617359","","88.85","1","2666040","133302000","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549512","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549511","GSM1395804: Single cell mRNA-seq_MGH30_B10; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617358","","143.84","1","4300596","215029800","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549511","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549510","GSM1395803: Single cell mRNA-seq_MGH30_B09; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617357","","133.73","1","4045843","202292150","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549510","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549509","GSM1395802: Single cell mRNA-seq_MGH30_B08; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617356","","97.49","1","2873165","143658250","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549509","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549508","GSM1395801: Single cell mRNA-seq_MGH30_B07; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617355","","149.94","1","4454386","222719300","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549508","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549507","GSM1395800: Single cell mRNA-seq_MGH30_B06; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617354","","134.04","1","4061542","203077100","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549507","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549506","GSM1395799: Single cell mRNA-seq_MGH30_B05; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617353","","127.57","1","3862180","193109000","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549506","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549505","GSM1395798: Single cell mRNA-seq_MGH30_B04; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617352","","12.81","1","365088","18254400","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549505","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549504","GSM1395797: Single cell mRNA-seq_MGH30_B03; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617351","","105.01","1","3153846","157692300","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549504","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549503","GSM1395796: Single cell mRNA-seq_MGH30_B02; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617350","","90.24","1","2740824","137041200","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549503","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549502","GSM1395795: Single cell mRNA-seq_MGH30_B01; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617349","","11.08","1","310899","15544950","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549502","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549501","GSM1395794: Single cell mRNA-seq_MGH30_A12; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617348","","133","1","4000577","200028850","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549501","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549500","GSM1395793: Single cell mRNA-seq_MGH30_A11; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617347","","122.93","1","3685901","184295050","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549500","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549499","GSM1395792: Single cell mRNA-seq_MGH30_A10; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617346","","9.54","1","265162","13258100","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549499","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549498","GSM1395791: Single cell mRNA-seq_MGH30_A09; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617345","","135.28","1","4080509","204025450","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549498","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549497","GSM1395790: Single cell mRNA-seq_MGH30_A08; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617344","","133.25","1","3960853","198042650","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549497","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549496","GSM1395789: Single cell mRNA-seq_MGH30_A07; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617343","","159.94","1","4732685","236634250","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549496","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549495","GSM1395788: Single cell mRNA-seq_MGH30_A06; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617342","","134.84","1","4060442","203022100","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549495","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549494","GSM1395787: Single cell mRNA-seq_MGH30_A05; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617341","","21.13","1","610393","30519650","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549494","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX549493","GSM1395786: Single cell mRNA-seq_MGH30_A04; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2500","GEO","SRP042161","GSE57872: Single cell RNA-seq of primary human glioblastomas","SRS617340","","6.09","1","171380","8569000","ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX549/SRX549493","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
